0 [0.0000e+00, 0.0000e+00]
44100 [1.0053e-01, 9.9217e-02]
44200 [1.0053e-01, 9.9215e-02]
44300 [1.0053e-01, 9.9219e-02]
44400 [1.0053e-01, 9.9218e-02]
44500 [1.0053e-01, 9.9219e-02]
44600 [1.0053e-01, 9.9221e-02]
44700 [1.0052e-01, 9.9217e-02]
44800 [1.0051e-01, 9.9215e-02]
44900 [1.0053e-01, 9.9222e-02]
45000 [1.0053e-01, 9.9223e-02]
45100 [1.0053e-01, 9.9223e-02]
45200 [1.0053e-01, 9.9224e-02]
45300 [1.0052e-01, 9.9237e-02]
45400 [1.0053e-01, 9.9224e-02]
45500 [1.0054e-01, 9.9210e-02]
45600 [1.0052e-01, 9.9227e-02]
45700 [1.0052e-01, 9.9218e-02]
45800 [1.0052e-01, 9.9225e-02]
45900 [1.0051e-01, 9.9227e-02]
46000 [1.0052e-01, 9.9229e-02]
46100 [1.0051e-01, 9.9224e-02]
46200 [1.0052e-01, 9.9230e-02]
46300 [1.0051e-01, 9.9229e-02]
46400 [1.0052e-01, 9.9233e-02]
46500 [1.0052e-01, 9.9232e-02]
46600 [1.0051e-01, 9.9232e-02]
46700 [1.0051e-01, 9.9234e-02]
46800 [1.0051e-01, 9.9233e-02]
46900 [1.0050e-01, 9.9240e-02]
47000 [1.0051e-01, 9.9235e-02]
47100 [1.0051e-01, 9.9238e-02]
47200 [1.0051e-01, 9.9236e-02]
47300 [1.0051e-01, 9.9237e-02]
47400 [1.0050e-01, 9.9236e-02]
47500 [1.0051e-01, 9.9239e-02]
47600 [1.0051e-01, 9.9238e-02]
47700 [1.0051e-01, 9.9239e-02]
47800 [1.0051e-01, 9.9241e-02]
47900 [1.0050e-01, 9.9240e-02]
48000 [1.0051e-01, 9.9237e-02]
48100 [1.0050e-01, 9.9241e-02]
48200 [1.0050e-01, 9.9242e-02]
48300 [1.0050e-01, 9.9243e-02]
48400 [1.0050e-01, 9.9244e-02]
48500 [1.0050e-01, 9.9242e-02]
48600 [1.0050e-01, 9.9245e-02]
48700 [1.0050e-01, 9.9244e-02]
48800 [1.0050e-01, 9.9246e-02]
48900 [1.0050e-01, 9.9265e-02]
49000 [1.0049e-01, 9.9248e-02]
49100 [1.0049e-01, 9.9247e-02]
49200 [1.0049e-01, 9.9248e-02]
49300 [1.0050e-01, 9.9233e-02]
49400 [1.0048e-01, 9.9254e-02]
49500 [1.0049e-01, 9.9250e-02]
49600 [1.0051e-01, 9.9275e-02]
49700 [1.0049e-01, 9.9250e-02]
49800 [1.0049e-01, 9.9251e-02]
49900 [1.0048e-01, 9.9261e-02]
50000 [1.0048e-01, 9.9252e-02]
50100 [1.0049e-01, 9.9252e-02]
50200 [1.0047e-01, 9.9252e-02]
50300 [1.0048e-01, 9.9255e-02]
50400 [1.0048e-01, 9.9253e-02]
50500 [1.0048e-01, 9.9256e-02]
50600 [1.0048e-01, 9.9256e-02]
50700 [1.0047e-01, 9.9259e-02]
50800 [1.0049e-01, 9.9262e-02]
50900 [1.0049e-01, 9.9268e-02]
51000 [1.0048e-01, 9.9259e-02]
51100 [1.0047e-01, 9.9257e-02]
51200 [1.0048e-01, 9.9272e-02]
51300 [1.0047e-01, 9.9254e-02]
51400 [1.0047e-01, 9.9261e-02]
51500 [1.0046e-01, 9.9257e-02]
51600 [1.0046e-01, 9.9266e-02]
51700 [1.0047e-01, 9.9263e-02]
51800 [1.0047e-01, 9.9262e-02]
51900 [1.0047e-01, 9.9263e-02]
52000 [1.0046e-01, 9.9260e-02]
52100 [1.0048e-01, 9.9245e-02]
52200 [1.0046e-01, 9.9266e-02]
52300 [1.0046e-01, 9.9261e-02]
52400 [1.0046e-01, 9.9266e-02]
52500 [1.0046e-01, 9.9266e-02]
52600 [1.0046e-01, 9.9265e-02]
52700 [1.0046e-01, 9.9268e-02]
52800 [1.0046e-01, 9.9267e-02]
52900 [1.0046e-01, 9.9268e-02]
53000 [1.0046e-01, 9.9269e-02]
53100 [1.0046e-01, 9.9255e-02]
53200 [1.0046e-01, 9.9270e-02]
53300 [1.0046e-01, 9.9270e-02]
53400 [1.0046e-01, 9.9272e-02]
53500 [1.0045e-01, 9.9272e-02]
53600 [1.0045e-01, 9.9271e-02]
53700 [1.0045e-01, 9.9271e-02]
53800 [1.0045e-01, 9.9273e-02]
53900 [1.0045e-01, 9.9275e-02]
54000 [1.0045e-01, 9.9275e-02]
54100 [1.0045e-01, 9.9274e-02]
54200 [1.0046e-01, 9.9282e-02]
54300 [1.0045e-01, 9.9276e-02]
54400 [1.0045e-01, 9.9275e-02]
54500 [1.0045e-01, 9.9275e-02]
54600 [1.0044e-01, 9.9275e-02]
54700 [1.0044e-01, 9.9278e-02]
54800 [1.0046e-01, 9.9286e-02]
54900 [1.0044e-01, 9.9279e-02]
55000 [1.0044e-01, 9.9279e-02]
55100 [1.0044e-01, 9.9287e-02]
55200 [1.0044e-01, 9.9272e-02]
55300 [1.0044e-01, 9.9280e-02]
55400 [1.0043e-01, 9.9285e-02]
55500 [1.0044e-01, 9.9283e-02]
55600 [1.0044e-01, 9.9282e-02]
55700 [1.0044e-01, 9.9282e-02]
55800 [1.0044e-01, 9.9285e-02]
55900 [1.0043e-01, 9.9296e-02]
56000 [1.0043e-01, 9.9283e-02]
56100 [1.0044e-01, 9.9281e-02]
56200 [1.0043e-01, 9.9296e-02]
56300 [1.0043e-01, 9.9285e-02]
56400 [1.0043e-01, 9.9292e-02]
56500 [1.0043e-01, 9.9286e-02]
56600 [1.0043e-01, 9.9287e-02]
56700 [1.0042e-01, 9.9288e-02]
56800 [1.0043e-01, 9.9311e-02]
56900 [1.0043e-01, 9.9288e-02]
57000 [1.0043e-01, 9.9288e-02]
57100 [1.0043e-01, 9.9289e-02]
57200 [1.0043e-01, 9.9287e-02]
57300 [1.0042e-01, 9.9298e-02]
57400 [1.0042e-01, 9.9294e-02]
57500 [1.0042e-01, 9.9290e-02]
57600 [1.0042e-01, 9.9290e-02]
57700 [1.0042e-01, 9.9290e-02]
57800 [1.0042e-01, 9.9291e-02]
57900 [1.0042e-01, 9.9291e-02]
58000 [1.0042e-01, 9.9291e-02]
58100 [1.0042e-01, 9.9293e-02]
58200 [1.0042e-01, 9.9292e-02]
58300 [1.0040e-01, 9.9324e-02]
58400 [1.0042e-01, 9.9293e-02]
58500 [1.0042e-01, 9.9292e-02]
58600 [1.0042e-01, 9.9295e-02]
58700 [1.0042e-01, 9.9295e-02]
58800 [1.0041e-01, 9.9292e-02]
58900 [1.0042e-01, 9.9296e-02]
59000 [1.0041e-01, 9.9297e-02]
59100 [1.0041e-01, 9.9299e-02]
59200 [1.0041e-01, 9.9297e-02]
59300 [1.0041e-01, 9.9297e-02]
59400 [1.0041e-01, 9.9295e-02]
59500 [1.0041e-01, 9.9296e-02]
59600 [1.0043e-01, 9.9282e-02]
59700 [1.0039e-01, 9.9293e-02]
59800 [1.0041e-01, 9.9299e-02]
59900 [1.0041e-01, 9.9299e-02]
60000 [1.0041e-01, 9.9298e-02]
60100 [1.0041e-01, 9.9299e-02]
60200 [1.0041e-01, 9.9309e-02]
60300 [1.0041e-01, 9.9300e-02]
60400 [1.0040e-01, 9.9299e-02]
60500 [1.0041e-01, 9.9288e-02]
60600 [1.0040e-01, 9.9300e-02]
60700 [1.0040e-01, 9.9302e-02]
60800 [1.0039e-01, 9.9290e-02]
60900 [1.0040e-01, 9.9304e-02]
61000 [1.0040e-01, 9.9302e-02]
61100 [1.0040e-01, 9.9303e-02]
61200 [1.0040e-01, 9.9301e-02]
61300 [1.0040e-01, 9.9308e-02]
61400 [1.0040e-01, 9.9304e-02]
61500 [1.0041e-01, 9.9297e-02]
61600 [1.0039e-01, 9.9301e-02]
61700 [1.0039e-01, 9.9299e-02]
61800 [1.0040e-01, 9.9306e-02]
61900 [1.0039e-01, 9.9317e-02]
62000 [1.0040e-01, 9.9303e-02]
62100 [1.0039e-01, 9.9308e-02]
62200 [1.0039e-01, 9.9300e-02]
62300 [1.0041e-01, 9.9299e-02]
62400 [1.0039e-01, 9.9296e-02]
62500 [1.0039e-01, 9.9308e-02]
62600 [1.0039e-01, 9.9308e-02]
62700 [1.0039e-01, 9.9307e-02]
62800 [1.0039e-01, 9.9304e-02]
62900 [1.0039e-01, 9.9307e-02]
63000 [1.0039e-01, 9.9307e-02]
63100 [1.0037e-01, 9.9319e-02]
63200 [1.0040e-01, 9.9311e-02]
