43100 [4.9340e-01, 4.9896e-01]
43200 [4.9340e-01, 4.9897e-01]
43300 [4.9340e-01, 4.9897e-01]
43400 [4.9340e-01, 4.9898e-01]
43500 [4.9340e-01, 4.9897e-01]
43600 [4.9340e-01, 4.9898e-01]
43700 [4.9340e-01, 4.9900e-01]
43800 [4.9339e-01, 4.9894e-01]
43900 [4.9336e-01, 4.9901e-01]
44000 [4.9339e-01, 4.9898e-01]
44100 [4.9338e-01, 4.9898e-01]
44200 [4.9340e-01, 4.9900e-01]
44300 [4.9339e-01, 4.9899e-01]
44400 [4.9341e-01, 4.9902e-01]
44500 [4.9339e-01, 4.9899e-01]
44600 [4.9339e-01, 4.9898e-01]
44700 [4.9339e-01, 4.9899e-01]
44800 [4.9338e-01, 4.9900e-01]
44900 [4.9339e-01, 4.9900e-01]
45000 [4.9339e-01, 4.9900e-01]
45100 [4.9339e-01, 4.9900e-01]
45200 [4.9338e-01, 4.9895e-01]
45300 [4.9338e-01, 4.9902e-01]
45400 [4.9338e-01, 4.9900e-01]
45500 [4.9339e-01, 4.9901e-01]
45600 [4.9338e-01, 4.9901e-01]
45700 [4.9338e-01, 4.9900e-01]
45800 [4.9339e-01, 4.9902e-01]
45900 [4.9338e-01, 4.9901e-01]
46000 [4.9338e-01, 4.9901e-01]
46100 [4.9338e-01, 4.9901e-01]
46200 [4.9338e-01, 4.9901e-01]
46300 [4.9338e-01, 4.9897e-01]
46400 [4.9339e-01, 4.9902e-01]
46500 [4.9338e-01, 4.9901e-01]
46600 [4.9334e-01, 4.9903e-01]
46700 [4.9338e-01, 4.9902e-01]
46800 [4.9338e-01, 4.9901e-01]
46900 [4.9338e-01, 4.9902e-01]
47000 [4.9337e-01, 4.9902e-01]
47100 [4.9336e-01, 4.9902e-01]
47200 [4.9338e-01, 4.9902e-01]
47300 [4.9337e-01, 4.9902e-01]
47400 [4.9337e-01, 4.9903e-01]
47500 [4.9337e-01, 4.9904e-01]
47600 [4.9337e-01, 4.9903e-01]
47700 [4.9338e-01, 4.9903e-01]
47800 [4.9337e-01, 4.9903e-01]
47900 [4.9338e-01, 4.9903e-01]
48000 [4.9337e-01, 4.9903e-01]
48100 [4.9337e-01, 4.9902e-01]
48200 [4.9337e-01, 4.9903e-01]
48300 [4.9339e-01, 4.9906e-01]
48400 [4.9337e-01, 4.9903e-01]
48500 [4.9337e-01, 4.9903e-01]
48600 [4.9335e-01, 4.9902e-01]
48700 [4.9337e-01, 4.9903e-01]
48800 [4.9337e-01, 4.9902e-01]
48900 [4.9337e-01, 4.9903e-01]
49000 [4.9337e-01, 4.9904e-01]
49100 [4.9337e-01, 4.9904e-01]
49200 [4.9337e-01, 4.9904e-01]
49300 [4.9337e-01, 4.9903e-01]
49400 [4.9337e-01, 4.9906e-01]
49500 [4.9337e-01, 4.9904e-01]
49600 [4.9337e-01, 4.9904e-01]
49700 [4.9337e-01, 4.9904e-01]
49800 [4.9337e-01, 4.9905e-01]
49900 [4.9337e-01, 4.9904e-01]
50000 [4.9337e-01, 4.9904e-01]
50100 [4.9337e-01, 4.9904e-01]
50200 [4.9337e-01, 4.9904e-01]
50300 [4.9337e-01, 4.9905e-01]
50400 [4.9337e-01, 4.9904e-01]
50500 [4.9337e-01, 4.9904e-01]
50600 [4.9337e-01, 4.9904e-01]
50700 [4.9337e-01, 4.9905e-01]
50800 [4.9337e-01, 4.9905e-01]
50900 [4.9337e-01, 4.9904e-01]
51000 [4.9337e-01, 4.9905e-01]
51100 [4.9337e-01, 4.9905e-01]
51200 [4.9338e-01, 4.9906e-01]
51300 [4.9337e-01, 4.9905e-01]
51400 [4.9337e-01, 4.9905e-01]
51500 [4.9337e-01, 4.9907e-01]
51600 [4.9337e-01, 4.9905e-01]
51700 [4.9337e-01, 4.9905e-01]
51800 [4.9337e-01, 4.9905e-01]
51900 [4.9337e-01, 4.9905e-01]
52000 [4.9337e-01, 4.9905e-01]
52100 [4.9337e-01, 4.9905e-01]
52200 [4.9337e-01, 4.9905e-01]
52300 [4.9337e-01, 4.9904e-01]
52400 [4.9337e-01, 4.9905e-01]
52500 [4.9337e-01, 4.9905e-01]
52600 [4.9338e-01, 4.9905e-01]
52700 [4.9338e-01, 4.9905e-01]
52800 [4.9338e-01, 4.9905e-01]
52900 [4.9337e-01, 4.9905e-01]
53000 [4.9337e-01, 4.9903e-01]
53100 [4.9339e-01, 4.9906e-01]
53200 [4.9338e-01, 4.9905e-01]
53300 [4.9338e-01, 4.9905e-01]
53400 [4.9338e-01, 4.9905e-01]
53500 [4.9338e-01, 4.9906e-01]
53600 [4.9338e-01, 4.9905e-01]
53700 [4.9338e-01, 4.9906e-01]
53800 [4.9338e-01, 4.9903e-01]
53900 [4.9336e-01, 4.9906e-01]
54000 [4.9338e-01, 4.9905e-01]
54100 [4.9339e-01, 4.9908e-01]
54200 [4.9338e-01, 4.9906e-01]
54300 [4.9335e-01, 4.9907e-01]
54400 [4.9338e-01, 4.9906e-01]
54500 [4.9338e-01, 4.9907e-01]
54600 [4.9338e-01, 4.9906e-01]
54700 [4.9337e-01, 4.9907e-01]
54800 [4.9338e-01, 4.9906e-01]
54900 [4.9339e-01, 4.9905e-01]
55000 [4.9339e-01, 4.9908e-01]
55100 [4.9338e-01, 4.9906e-01]
55200 [4.9339e-01, 4.9906e-01]
55300 [4.9339e-01, 4.9906e-01]
55400 [4.9339e-01, 4.9906e-01]
55500 [4.9339e-01, 4.9906e-01]
55600 [4.9339e-01, 4.9906e-01]
55700 [4.9338e-01, 4.9905e-01]
55800 [4.9339e-01, 4.9906e-01]
55900 [4.9341e-01, 4.9907e-01]
56000 [4.9339e-01, 4.9906e-01]
56100 [4.9339e-01, 4.9905e-01]
